X,Y,OBJECTID,Naziv_stajališta,Linije,Opis,Napomena
15.962046001,45.8075959990001,1,Adžijina - istok,2,smjer Črnomerc,
15.9615850000001,45.8077899990001,2,Adžijina - zapad,2,smjer Savska cesta,
16.0696580000001,45.8285569990001,3,Aleja javora - jug,"4,7,11,34",smjer Dubec,
16.067935,45.8288679990001,4,Aleja javora - sjever,"4,7,11,34",smjer Kvaternikov trg,
15.952866,45.778084999,5,Arena Zagreb - istok ,"7,14,31",smjer Savski most,
15.952778,45.777930999,6,Arena Zagreb - zapad,"7,14,31",smjer Zapruđe,
15.993662999,45.8043019990001,7,Autobusni kol. - istok,"2,5,6,7,8,31",smjer Ulica kneza Branimira\Kvaternikov trg,
15.9939010000001,45.8036959990001,8,Autobusni kol. - zapad,"2,5,6,7,8,31",smjer iz grada,
15.9593160000001,45.8016769990001,9,Badalićeva - jug,"3,9,12,34",smjer Savska cesta,
15.9596470000001,45.8019839990001,10,Badalićeva - sjever,"3,9,12,34",smjer Ljubljanica,
15.9798650000001,45.822280999,11,Belostenčeva - istok,"8,14,33",smjer Mihaljevac,
15.9798250010001,45.8226279990001,12,Belostenčeva - zapad,"8,14,33",smjer Draškovićeva ulica,
16.0184100000001,45.814178999,13,Borongaj izlaz - jug,"1,9,17,32",terminal Borongaj izlaz,
16.018836,45.8145509990001,14,Borongaj ulaz - sjever,"1,9,17,32",terminal Borongaj ulaz,
16.0042950000001,45.788804999,15,Borovje - istok,"6,7,8,31",smjer Vukovarska ulica,
16.004202999,45.788551999,16,Borovje - zapad,"6,7,8,31",smjer Novi Zagreb,
15.974188,45.8056739990001,17,Botanički vrt - sjever,"2,4,9,33",Smjer Savska cesta,
15.973644,45.8055719990001,18,Botanički vrt - jug,"2,4,9,33",smjer Glavni kolodvor\Draškovićeva ulica,
15.9919770000001,45.8061249990001,19,Branim. tržnica - jug ,"2,6,8,31",smjer Autobusni kolodvor,
15.9914669990001,45.806120999,20,Branim. tržnica - sjever,"2,6,8,31",smjer Glavni kolodvor,
15.983735,45.805489999,21,Branimirova - jug,"2,4,6,9,13,31,33,34",smjer Autobusni kolodvor \Draškovićeva ulica,
15.984476,45.805602999,22,Branimirova - sjever,"2,6,8,31",smjer Glavni kolodvor\Draškovićeva ulica,
15.963038999,45.8122769990001,23,Britanski trg - jug,"1,6,11,31",smjer Trg bana J. Jelačića,
15.9648330000001,45.8126109990001,24,Britanski trg - sjever,"1,6,11,31",smjer Črnomerc,
16.0139310000001,45.818970999,25,Park Maksimir - jug,"4,5,7,11,12,34",smjer Dubrava,
16.012261,45.8187179990001,26,Park Maksimir - sjever,"4,5,7,11,12,34",smjer Kvaternikov trg,
16.0310660000001,45.8008379990001,27,Čavićeva - sjever,"2,3,13,33",smjer Av. Marina Držića,
16.030477999,45.801049999,28,Čavićeva - jug,"2,3,13,33",smjer Savišće,
15.9339610010001,45.8154089990001,29,Črnomerec izlaz - sjever,"2,6,11,31", terminal Črnomerec,
15.9345260000001,45.8150429990001,30,"Črnomerec ulaz 6,11 - jug ","6,11,31","terminal Črnomerec, ulaz linija 6,11",
15.9345260000001,45.8151069990001,31,Črnomerec ulaz 2 - jug ,2,"terminal Črnomerec, ulaz linija 2",
16.0637790000001,45.8286699990001,32,Čulinečka - jug,"4,7,11,34",smjer Dubec,
16.062186001,45.829014999,33,Čulinečka - sjever,"4,7,11,34",smjer Kvaternikov trg,
16.056632,45.829572999,34,Dankovečka - jug,"4,7,11,34",smjer Dubec,
16.054583,45.829467999,35,Dankovečka - sjever,"4,7,11,34",smjer Kvaternikov trg,
16.014620999,45.8029709990001,36,Donje Svetice - jug,"2,3,13,33",smjer Žitnjak,
16.015292001,45.8031589990001,37,Donje Svetice - sjever,"2,3,13,33",smjer Av. Marina Držića,
15.9833590000001,45.8129109990001,38,Draškovićeva - zapad,"4,8,11,12,14,33,34",smjer Trg bana J. Jelačića \Ulica kneza Branimira,
15.983511,45.813301999,39,Draškovićeva - istok,"4,8,11,12,14,33,34",smjer Dubrava\Mihaljevac,
15.995035,45.8019239990001,40,Držićeva - istok,"2,5,6,7,8,31",smjer Ulica kneza Branimira\Kvaternikov trg,
15.9962380000001,45.8010919990001,41,Držićeva - jug,"2,3,13,33",smjer Žitnjak,
15.9958580000001,45.800400999,42,Držićeva - zapad,"6,7,8,31",smjer Novi Zagreb,
15.9943940000001,45.801070999,43,Držićeva - sjever,"3,5,13,33",smjer Savska cesta,
16.0778240010001,45.827908999,44,Dubec ulaz -  sjever,"4,7,11,34","terminal Dubec, izlaz\ulaz",
16.077794,45.827844999,45,Dubec ulaz - jug,"4,7,11,34","terminal  Dubec , izlaz\ulaz",
16.0399100000001,45.824778999,46,Dubrava - jug,"4,7,11,34",smjer Dubec,
16.037358,45.824356999,47,"Dubrava 4,7,11,34 - sjever","4,7,11,34",smjer Kvaternikov trg,
16.037221,45.824423999,48,Dubrava 5 - sjever ,5,"terminal Dubrava, izlaz\ulaz",
16.0372160000001,45.824489999,49,Dubrava 12 - sjever ,12,"terminal Dubrava, izlaz\ulaz",
16.037406,45.797156999,50,Elka - istok,"2,3,33",smjer Av. Marina Držića,
16.037523999,45.7968719990001,51,Elka - zapad,"2,3,33",smjer Savišće,
16.0232490000001,45.804314999,52,Ferenščica - jug,"2,3,13,33",smjer Savišće,
16.023633999,45.804342999,53,Ferenščica - sjever,"2,3,13,33",smjer Av. Marina Držića,
16.002508999,45.7919669990001,54,Folnegovićevo - istok,"6,7,8,31",smjer u grad,
16.002216,45.792230999,55,Folnegovićevo - zapad,"6,7,8,31",smjer Novi Zagreb,
15.969619,45.8125029990001,56,Frankopanska - istok,"12,13,14,17,32,34",smjer  Trg  bana Josipa Jelačića,
15.969406,45.813251999,57,Frankopanska - jug,"1,6,11,31",smjer  Trg bana Josipa Jelačića,
15.96862,45.8133069990001,58,Frankopanska - sjever,"1,6,11,31",smjer Črnomerec,
15.9694270000001,45.812378999,59,Frankopanska - zapad,"12,13,14,17,32,34",smjer iz grada,
16.026775,45.8029319990001,60,Getaldićeva - jug,"2,3,13,33",smjer Žitnjak,
16.0273500000001,45.8027319990001,61,Getaldićeva - sjever,"2,3,13,33",smjer Av. Marina Držića,
15.9791010000001,45.8052339990001,62,Glavni kolodvor - jug,"2,4,6,9,13,31,33,34",smjer Av. Marina Držića,
15.9784970000001,45.8052769990001,63,Glavni kolodvor - sjever,"2,4,6,9,13,31,33,34",smjer Trg b. J. Jelačića\Savska cesta,
15.973311,45.8541029990001,64,Grač. Mihaljevac - istok,"15,33",smjer Gračansko Dolje,
15.973213,45.8540169990001,65,Grač. Mihaljevac - zapad,"15,33",smjer Mihaljevac,
15.9741720000001,45.8583229990001,66,Gračani - istok,"15,33",smjer Gračansko Dolje,
15.9739290000001,45.8582289990001,67,Gračani - zapad,"15,33",smjer Mihaljevac,
15.9756050010001,45.8487009990001,68,Gračanske stube - istok,"15,33",smjer Gračansko Dolje,
15.9754340000001,45.8487879990001,69,Gračanske stube - zapad,"15,33",smjer Mihaljevac,
15.981642,45.8606419990001,70,Gračansko Dolje izlaz - jug,"15,33",okretište Gračansko Dolje,
15.9810840000001,45.860327999,71,Gračansko Dolje ulaz - sjever,"15, 33",smjer Mihaljevac,
16.0524550000001,45.828785999,72,Grižanska - jug,"4,7,11,34",smjer Dubec,
16.0519570000001,45.8287999990001,73,Grižanska - sjever,"4,7,11,34",smjer Kvaternikov trg,
15.979475,45.8200029990001,74,Grškovićeva - istok,"8,14,33",smjer Mihaljevac,
15.979341999,45.8198439990001,75,Grškovićeva - zapad,"8,14,33",smjer Draškovićeva ulica,
15.9795530000001,45.8279659990001,76,Gupčeva zvijezda - istok,"8,14,33",smjer Mihaljevac,
15.979536001,45.8276749990001,77,Gupčeva zvijezda - zapad,"8,14,33",smjer Draškovićeva ulica,
16.0080110000001,45.8146859990001,78,Harambašićeva - jug,"1,9,17,32",smjer Borongaj,
16.008631999,45.8150449990001,79,Harambašićeva - sjever,"1,9,17,32",smjer Trg žrtava fašizma,
16.010438,45.8022809990001,80,Heinzelova - jug,"2,3,13,33",smjer Žitnjak,
16.0013059990001,45.8120499990001,81,Heinzelova - jug,"1,9,17,32",smjer Borongaj,
16.0113620010001,45.802511999,82,Heinzelova - sjever,"2,3,13,33",smjer Av. Marina Držića,
15.9993880000001,45.811570999,83,Heinzelova - sjever,"1,9,17,32",smjer Trg žrtava fašizma,
16.022658,45.8209929990001,84,Hondlova - jug,"4,5,7,11,12,34",smjer Dubrava\Dubec,
16.022101999,45.8210129990001,85,Hondlova - sjever,"4,5,7,11,12,34",smjer Kvaternikov trg,
15.9422200000001,45.7881609990001,86,Horvati - jug,"5,17,32",smjer Savska cesta,
15.940185,45.7882329990001,87,Horvati - sjever,"5,17,32",smjer Prečko,
16.0198599990001,45.8038499990001,88,Ivanićgradska - jug,"2,3,13,33",smjer Žitnjak,
16.0206630000001,45.8040539990001,89,Ivanićgradska - sjever,"2,3,13,33",smjer Av.Marina Držića,
15.9574630000001,45.809067999,90,Jagićeva - sjever,2,smjer Črnomerec,
15.9775270010001,45.8364829990001,91,Jandrićeva - istok,"8,14,33",smjer Mihaljevac,
15.977333,45.8368599990001,92,Jandrićeva - zapad,"8,14,33", smjer Draškovićeva,
15.9205640000001,45.7895759990001,93,Jarun - jug,"5,17,32",smjer Savska cesta,
15.920061,45.789908999,94,Jarun - sjever,"5,17,32",smjer Prečko,
16.0080530010001,45.817578999,95,Jordanovac - jug,"4,5,7,11,12,34",smjer Dubrava\Dubec,Linije 5 i 12 prometuju do okretišta Dubrava
16.0076100000001,45.8176319990001,96,Jordanovac - sjever,"4,5,7,11,12,34", smjer Kvaternikov trg,
15.965717,45.8053139990001,97,Jukićeva - sjever,,smjer Zapadni kolodvor,"Stajalište se koristi kod izlaza na trasu za linije 1,2,11 i 31"
15.9658440000001,45.8051439990001,98,Jukićeva - jug,,smjer Savska,"Stajalište se koristi kod povratka u spremište za linije 1, 2,11 i 31"
16.048630001,45.8275439990001,99,Kapucinska - jug ,"4,7,11,34",smjer Dubec,
16.048231,45.8275819990001,100,Kapucinska - sjever,"4,7,11,34",smjer Kvaternikov trg,
15.9837390010001,45.8104519990001,101,Klinika za traumatologiju - istok,"4,8,33,34",smjer Dubrava\Mihaljevac,"Linije 4 i 34 smjer Dubec, linije 8 i 33 smjer Mihaljevac"
15.9835879990001,45.810075999,102,Klinika za traumatologiju - zapad,"4,8,33,34",smjer Glavni kolodvor\Autobusni kolodvor,"Linije 4, 34 i 33 smjer Glavni kolodvor, linija 8 smjer Zapruđe"
15.9453520000001,45.7881389990001,103,Knežija - jug,"5,17,32",smjer Savska cesta,
15.944696,45.7882329990001,104,Knežija - sjever,"5,17,32",smjer Prečko,
15.9849150000001,45.8005279990001,105,Kruge - jug,"3,5,13,33",smjer Av. Marina Držića,
15.9854749990001,45.8006169990001,106,Kruge - sjever,"3,5,13,33",smjer Savska cesta,
15.9976419990001,45.815329999,107,Kvaternikov trg - sjever,"4,5,7,11,12,34",smjer Trg Josipa Jelačića/Autobusni kolodvor,Linije 5 i 7 prometuju prema Autobusnom kolodvoru
15.9973550010001,45.8148849990001,108,Kvaternikov trg ulaz/izlaz - istok,13,smjer Trg bana Josipa Jelačića,
15.99699,45.814917999,109,Kvaternikov trg - jug,"4,11,12,34",smjer Dubrava\Dubec,"Linija 12 prometuje do okretišta Dubrava, linije 4, 11 i 34 smjer Dubec"
15.9801550010001,45.8002709990001,110,Lisinski - jug,"3,5,13,33",smjer Av. Marina Držića,
15.977874,45.800237999,111,Lisinski - sjever,"3,5,13,33",smjer Savska cesta,
16.04526,45.8263749990001,112,Ljubijska - jug,"4,7,11,34",smjer Dubec,
16.043803,45.826024999,113,Ljubijska - sjever,"4,7,11,34",smjer Kvaternikov trg,
15.937553,45.7972589990001,114,Ljubljanica izlaz - sjever,"3,9,12,34",terminal Ljubljanica,
15.9385260010001,45.797220999,115,Ljubljanica ulaz - jug,"3,9,12,34",terminal Ljubljanica,
15.948365,45.8123849990001,116,Mandaličina - jug,"2,6,11,31",smjer Trg bana Josipa Jelačića\Glavni kolodvor,Linija 2 smjer Glavni kolodvor
15.9489840000001,45.8125059990001,117,Mandaličina - sjever,"2,6,11,31",smjer Črnomerec,
16.0362650010001,45.8232649990001,118,Mandlova - zapad,,posljednje stajalište na trasi prije odlaska u spremište,"Stajalište se koristi za povratak u  spremište za linije  4,6,7,11,12,14 ,31 i 33"
15.9023320000001,45.793010999,119,Marijane Radev - jug,"5,17,32",smjer Savska cesta,
15.901912,45.793235999,120,Marijane Radev - sjever,"5,17,32",smjer Prečko,
16.0033930000001,45.8165059990001,121,Mašićeva - jug,"4,5,7,11,12,34",smjer Dubrava\Dubec,"Linije 5 i 12 prometuju do okretišta Dubrava, linije 4,7,11,34 smjer Dubec"
16.002911999,45.8165539990001,122,Mašićeva - sjever,"4,5,7,11,12,34",smjer Kvaternikov trg,
15.97477,45.8417959990001,123,Mihaljevac izlaz - istok,"8,14,33",terminal Mihaljevac,
15.9747320010001,45.8415879990001,124,Mihaljevac ulaz - zapad,"8,14,33",smjer Draškovićeva ulica,
15.975103,45.842383999,125,Mihaljevac ulaz 15 - jug ,"15,33",smjer Gračansko Dolje,
15.9743480000001,45.8420839990001,126,Mihaljevac izlaz 15 - zapad ,"15,33",terminal  Mihaljevac,Prolazno stajalište za liniju 33
15.975486,45.800033999,127,Miramarska - jug,"3,5,13,33",smjer Av. Marina Držića,
15.973706,45.8000219990001,128,Miramarska - sjever,"3,5,13,33",smjer Savska cesta,
16.0014830000001,45.7823369990001,129,Most mladosti - istok,"6,7,8,31",smjer Av. Marina Držića,
16.001273,45.7819509990001,130,Most mladosti - zapad,"6,7,8,31",smjer Novi Zagreb,
16.038197,45.792589999,131,Munja - istok,"2,3,33",smjer Av. Marina Držića,
16.0384750000001,45.793169999,132,Munja - zapad,"2,3,33",smjer Savišće,
15.979589001,45.777478999,133,Muzej suv.umjetnosti - jug,"7,14,31",smjer Zapruđe,
15.980942,45.7776049990001,134,Muzej suv.umjetnosti - sjever,"7,14,31",smjer Savski most,
15.9484180000001,45.798757999,135,Nehajska - jug,"3,9,12,34",smjer Savska cesta,
